Virginia,49,BYU,66
Bowling Green,56,Buffalo,44
Virginia Tech,26,Georgia Tech,17
Rutgers,20,Illinois,14
Massachusetts,17,Liberty,62
Texas St.,0,Louisiana,45
Indiana,35,Maryland,38
UCF,49,Temple,7
North Texas,30,Rice,24
Washington St.,34,Arizona St.,21
Hawaii,31,Utah St.,45
Missouri,37,Vanderbilt,28
ULM,28,App State,59
Florida St.,20,Clemson,30
TCU,12,Kansas St.,31
FIU,0,Marshall,38
Southern Miss.,10,Middle Tenn.,35
Purdue,28,Nebraska,23
Minnesota,41,Northwestern,14
Louisiana Tech,20,Old Dominion,23
Boston College,6,Syracuse,21
Wyoming,21,San Jose St.,27
Charlotte,13,Western Ky.,45
Arkansas St.,13,South Alabama,31
UTEP,10,Fla. Atlantic,21
Georgia St.,21,Ga. Southern,14
Oregon St.,25,California,39
Boise St.,28,Colorado St.,19
Arizona,34,Southern California,41
Louisville,13,NC State,28
UCLA,24,Utah,44
Washington,20,Stanford,13
Ball St.,31,Akron,25
Miami (OH),33,Ohio,35
Eastern Mich.,52,Toledo,49
Northern Ill.,47,Kent St.,52
Central Mich.,42,Western Mich.,30
Georgia St.,17,Louisiana,21
Virginia Tech,3,Boston College,17
Utah,52,Stanford,7
Missouri,6,Georgia,43
LSU,14,Alabama,20
Michigan St.,29,Purdue,40
Oregon,26,Washington,16
Ohio St.,26,Nebraska,17
Tulsa,20,Cincinnati,28
Indiana,7,Michigan,29
Wake Forest,55,North Carolina,58
Navy,6,Notre Dame,34
Oklahoma St.,24,West Virginia,3
Baylor,28,TCU,30
Auburn,3,Texas A&M,20
Liberty,14,Ole Miss,27
Mississippi St.,28,Arkansas,31
Tennessee,45,Kentucky,42
NC State,28,Florida St.,14
Illinois,14,Minnesota,6
Wisconsin,52,Rutgers,3
Iowa,17,Northwestern,12
Boise St.,40,Fresno St.,14
Pittsburgh,54,Duke,29
Army West Point,21,Air Force,14
Louisiana Tech,38,UAB,52
Georgia Tech,30,Miami (FL),33
Kansas St.,35,Kansas,10
SMU,25,Memphis,28
App State,48,Arkansas St.,14
Temple,3,East Carolina,45
North Texas,38,Southern Miss.,14
ULM,19,Texas St.,27
Colorado St.,17,Wyoming,31
California,3,Arizona,10
Tulane,10,UCF,14
Rice,24,Charlotte,31
Penn St.,31,Maryland,14
South Alabama,24,Troy,31
Utah St.,35,New Mexico St.,13
Oregon St.,34,Colorado,37
Marshall,28,Fla. Atlantic,13
Coastal Carolina,28,Ga. Southern,8
UNLV,31,New Mexico,17
Houston,60,South Fla.,42
Old Dominion,47,FIU,24
Texas,7,Iowa St.,30
Clemson,30,Louisville,24
Florida,17,South Carolina,40
Southern California,16,Arizona St.,31
San Jose St.,20,Nevada,51
UTSA,44,UTEP,23
San Diego St.,17,Hawaii,10
Buffalo,18,Miami (OH),45
Akron,40,Western Mich.,45
Ohio,34,Eastern Mich.,26
Toledo,49,Bowling Green,17
Ball St.,29,Northern Ill.,30
Kent St.,30,Central Mich.,54
North Carolina,23,Pittsburgh,30
Cincinnati,45,South Fla.,28
Wyoming,13,Boise St.,23
Georgia,41,Tennessee,17
New Mexico St.,3,Alabama,59
Washington St.,24,Oregon,38
Purdue,31,Ohio St.,59
Michigan,21,Penn St.,17
Maryland,21,Michigan St.,40
Oklahoma,14,Baylor,27
Notre Dame,28,Virginia,3
TCU,16,Oklahoma St.,63
Texas A&M,19,Ole Miss,29
NC State,42,Wake Forest,45
Mississippi St.,43,Auburn,34
Northwestern,7,Wisconsin,35
Minnesota,22,Iowa,27
Nevada,21,San Diego St.,23
Southern Miss.,17,UTSA,27
Utah,38,Arizona,36
Arkansas,16,LSU,13
UConn,7,Clemson,44
Rutgers,38,Indiana,3
West Virginia,17,Kansas St.,34
Syracuse,3,Louisville,41
East Carolina,30,Memphis,29
UCF,28,SMU,55
Houston,37,Temple,8
Louisiana,35,Troy,21
Georgia St.,42,Coastal Carolina,40
Western Ky.,42,Rice,21
South Alabama,7,App State,31
Ga. Southern,38,Texas St.,30
Miami (FL),28,Florida St.,31
Boston College,41,Georgia Tech,30
Charlotte,32,Louisiana Tech,42
UAB,21,Marshall,14
FIU,10,Middle Tenn.,50
Fla. Atlantic,16,Old Dominion,30
Iowa St.,38,Texas Tech,41
Duke,17,Virginia Tech,48
South Carolina,28,Missouri,31
UTEP,17,North Texas,20
Tulsa,20,Tulane,13
Hawaii,13,UNLV,27
Arkansas St.,27,ULM,24
Stanford,14,Oregon St.,35
Air Force,35,Colorado St.,21
New Mexico,7,Fresno St.,34
Kentucky,34,Vanderbilt,17
Arizona St.,35,Washington,30
Kansas,57,Texas,56
Colorado,20,UCLA,44
Utah St.,48,San Jose St.,17
Toledo,35,Ohio,23
Western Mich.,21,Eastern Mich.,22
Bowling Green,7,Miami (OH),34
Central Mich.,37,Ball St.,17
